Episode,Reward,Epsilon,Alpha,Steps,Max_Q
1,25.526661917013413,0.995,0.3,95,1.1190224802550224
2,23.55510618529605,0.990025,0.2994,100,2.0182814305789547
3,23.55510618529605,0.985074875,0.2988012,100,2.910659415572082
4,23.55510618529605,0.9801495006250001,0.2982035976,100,3.747302401910442
5,23.55510618529605,0.9752487531218751,0.2976071904048,100,4.541231606821413
6,23.55510618529605,0.9703725093562657,0.2970119760239904,100,5.29964733610934
7,25.718032881104733,0.9655206468094844,0.29641795207194244,100,5.7531702816259696
8,25.70591606562835,0.960693043575437,0.29582511616779855,100,6.397723616314293
9,25.718032881104733,0.9558895783575597,0.2952334659354629,100,7.0187951495824485
10,25.718032881104733,0.9511101304657719,0.29464299900359203,100,7.5744770230737135
11,25.85062901825751,0.946354579813443,0.2940537130055848,100,8.076774618727073
12,22.756741829794596,0.9416228069143757,0.29346560557957363,73,8.537238048924152
13,22.756741829794596,0.9369146928798039,0.2928786743684145,73,8.970126793934718
14,22.756741829794596,0.9322301194154049,0.2922929170196777,73,9.38649809673489
15,22.756741829794596,0.9275689688183278,0.2917083311856383,73,9.783786295163704
16,25.718032881104733,0.9229311239742362,0.29112491452326705,100,10.205983462390714
17,22.756741829794596,0.918316468354365,0.2905426646942205,73,10.55316652587395
18,25.718032881104733,0.9137248860125932,0.289961579364832,100,10.887889318534741
19,25.85062901825751,0.9091562615825302,0.2893816562061024,100,11.23023739083952
20,25.85062901825751,0.9046104802746175,0.2888028928936902,100,11.598422218008022
21,25.85062901825751,0.9000874278732445,0.2882252871079028,100,11.906108906466036
22,25.85062901825751,0.8955869907338783,0.287648836533687,100,12.244078165543916
23,25.85062901825751,0.8911090557802088,0.28707353886061965,100,12.52685426967975
24,25.85062901825751,0.8866535105013078,0.2864993917828984,100,12.837552816292783
25,25.85062901825751,0.8822202429488013,0.2859263929993326,100,13.168963502530714
26,25.85062901825751,0.8778091417340573,0.28535454021333395,100,13.426368975647808
27,25.85062901825751,0.8734200960253871,0.28478383113290723,100,13.71546818174574
28,25.84121743591624,0.8690529955452602,0.28421426347064144,100,13.944992689003444
29,25.84121743591624,0.8647077305675338,0.28364583494370016,100,14.164219239966453
30,22.852348311276078,0.8603841919146962,0.28307854327381277,75,14.353198110871103
31,22.491390783994298,0.8560822709551227,0.28251238618726515,48,14.522889004018605
32,22.491390783994298,0.851801859600347,0.28194736141489063,48,14.677802929586175
33,22.595409069997935,0.8475428503023453,0.2813834666920608,49,14.821574174525889
34,22.595409069997935,0.8433051360508336,0.2808206997586767,49,14.956236908762241
35,23.23347813725162,0.8390886103705794,0.2802590583591593,50,15.083072546466914
36,23.23347813725162,0.8348931673187264,0.279698540242441,50,15.20297195584358
37,23.23347813725162,0.8307187014821328,0.27913914316195615,50,15.31142870851563
38,23.23347813725162,0.8265651079747222,0.2785808648756322,50,15.41099637048289
39,22.855220071568706,0.8224322824348486,0.27802370314588093,39,15.503525398803335
40,22.855220071568706,0.8183201210226743,0.2774676557395892,39,15.650310048357131
41,22.855220071568706,0.8142285204175609,0.27691272042811,39,15.832771744436469
42,22.855220071568706,0.810157377815473,0.2763588949872538,39,16.038549081780932
43,22.855220071568706,0.8061065909263957,0.2758061771972793,39,16.25884822326177
44,22.855220071568706,0.8020760579717637,0.27525456484288474,39,16.48742798764592
45,23.00178362046917,0.798065677681905,0.27470405571319895,40,16.719874353163874
46,23.00178362046917,0.7940753492934954,0.27415464760177255,40,16.953081470412705
47,23.00178362046917,0.7901049725470279,0.27360633830656905,40,17.184880145806183
48,23.00178362046917,0.7861544476842928,0.2730591256299559,40,17.413771717371095
49,23.00178362046917,0.7822236754458713,0.27251300737869594,40,17.63873730817427
50,23.00178362046917,0.778312557068642,0.27196798136393857,40,17.859101030511425
51,23.00178362046917,0.7744209942832988,0.2714240454012107,40,18.074431832705223
52,23.00178362046917,0.7705488893118823,0.2708811973104083,40,18.28447304340895
